ano,mes,estado,casos_Previstos,timestamp
2024,Novembro,ES,1516,2025-07-24 17:55:54.935938
2024,Outubro,ES,1715,2025-07-24 17:55:54.935938
2024,Setembro,ES,4006,2025-07-24 17:55:54.935938
2024,Abril,GO,9100,2025-07-24 17:55:54.935938
2024,Agosto,GO,12172,2025-07-24 17:55:54.935938
2024,Dezembro,GO,12284,2025-07-24 17:55:54.935938
2024,Fevereiro,GO,10873,2025-07-24 17:55:54.935938
2024,Janeiro,GO,11502,2025-07-24 17:55:54.935938
2024,Julho,GO,14733,2025-07-24 17:55:54.935938
2024,Junho,GO,15142,2025-07-24 17:55:54.935938
2024,Maio,GO,12842,2025-07-24 17:55:54.935938
2024,Marco,GO,8313,2025-07-24 17:55:54.935938
2024,Novembro,GO,12132,2025-07-24 17:55:54.935938
2024,Outubro,GO,12497,2025-07-24 17:55:54.935938
2024,Setembro,GO,15078,2025-07-24 17:55:54.935938
2024,Abril,MA,474,2025-07-24 17:55:54.935938
2024,Agosto,MA,1225,2025-07-24 17:55:54.935938
2024,Dezembro,MA,1290,2025-07-24 17:55:54.935938
2024,Fevereiro,MA,700,2025-07-24 17:55:54.935938
2024,Janeiro,MA,914,2025-07-24 17:55:54.935938
2024,Julho,MA,3034,2025-07-24 17:55:54.935938
2024,Junho,MA,3448,2025-07-24 17:55:54.935938
2024,Maio,MA,1546,2025-07-24 17:55:54.935938
2024,Marco,MA,374,2025-07-24 17:55:54.935938
2024,Novembro,MA,1202,2025-07-24 17:55:54.935938
2024,Outubro,MA,1402,2025-07-24 17:55:54.935938
2024,Setembro,MA,3444,2025-07-24 17:55:54.935938
2024,Abril,MG,10227,2025-07-24 17:55:54.935938
2024,Agosto,MG,13404,2025-07-24 17:55:54.935938
2024,Dezembro,MG,13537,2025-07-24 17:55:54.935938
2024,Fevereiro,MG,12071,2025-07-24 17:55:54.935938
2024,Janeiro,MG,12696,2025-07-24 17:55:54.935938
2024,Julho,MG,16044,2025-07-24 17:55:54.935938
2024,Junho,MG,16493,2025-07-24 17:55:54.935938
2024,Maio,MG,14128,2025-07-24 17:55:54.935938
2024,Marco,MG,9429,2025-07-24 17:55:54.935938
2024,Novembro,MG,13356,2025-07-24 17:55:54.935938
2024,Outubro,MG,13762,2025-07-24 17:55:54.935938
2024,Setembro,MG,16452,2025-07-24 17:55:54.935938
2024,Abril,MS,1818,2025-07-24 17:55:54.935938
2024,Agosto,MS,4610,2025-07-24 17:55:54.935938
2024,Dezembro,MS,4725,2025-07-24 17:55:54.935938
2024,Fevereiro,MS,3290,2025-07-24 17:55:54.935938
2024,Janeiro,MS,3928,2025-07-24 17:55:54.935938
2024,Julho,MS,7184,2025-07-24 17:55:54.935938
2024,Junho,MS,7607,2025-07-24 17:55:54.935938
2024,Maio,MS,5273,2025-07-24 17:55:54.935938
2024,Marco,MS,1449,2025-07-24 17:55:54.935938
2024,Novembro,MS,4587,2025-07-24 17:55:54.935938
2024,Outubro,MS,4963,2025-07-24 17:55:54.935938
2024,Setembro,MS,7594,2025-07-24 17:55:54.935938
2024,Abril,MT,1985,2025-07-24 17:55:54.935938
2024,Agosto,MT,4878,2025-07-24 17:55:54.935938
